score,band,direction,day_type,reversal,fired
15,trend healthy,downtrend,mixed,False,rejection
0,trend healthy,downtrend,mixed,False,-
0,trend healthy,downtrend,mixed,False,-
15,trend healthy,downtrend,mixed,False,rejection
0,trend healthy,downtrend,mixed,False,-
0,trend healthy,downtrend,mixed,False,-
0,trend healthy,downtrend,mixed,False,-
0,trend healthy,downtrend,mixed,False,-
0,trend healthy,downtrend,mixed,False,-
0,trend healthy,downtrend,mixed,False,-
15,trend healthy,downtrend,mixed,True,rejection
0,trend healthy,downtrend,mixed,True,-
0,trend healthy,downtrend,mixed,True,-
5,trend healthy,downtrend,mixed,False,rsi_gated
30,caution,downtrend,mixed,False,location+rejection+rsi_gated
10,trend healthy,downtrend,mixed,False,location
10,trend healthy,downtrend,mixed,False,location
10,trend healthy,downtrend,mixed,False,location
10,trend healthy,downtrend,mixed,False,location
25,trend healthy,downtrend,mixed,False,absorption+location+rsi_gated
20,trend healthy,downtrend,mixed,False,absorption+location
20,trend healthy,downtrend,mixed,False,absorption+location
20,trend healthy,downtrend,mixed,False,absorption+location
20,trend healthy,downtrend,mixed,False,absorption+location
20,trend healthy,downtrend,mixed,False,absorption+location
20,trend healthy,downtrend,mixed,False,absorption+location
20,trend healthy,downtrend,mixed,False,absorption+location
20,trend healthy,downtrend,mixed,False,absorption+location
0,trend healthy,downtrend,trend,True,-
0,trend healthy,downtrend,trend,True,-
20,trend healthy,uptrend,trend,False,absorption+location
20,trend healthy,uptrend,trend,False,absorption+location
20,trend healthy,uptrend,trend,False,absorption+location
35,caution,uptrend,trend,False,absorption+location+rejection
20,trend healthy,uptrend,trend,False,absorption+location
20,trend healthy,uptrend,trend,False,absorption+location
0,trend healthy,uptrend,range,False,-
0,trend healthy,uptrend,range,False,-
0,trend healthy,uptrend,range,False,-
0,trend healthy,uptrend,range,False,-
0,trend healthy,uptrend,range,True,-
0,trend healthy,uptrend,range,True,-
0,trend healthy,uptrend,range,True,-
0,trend healthy,uptrend,range,True,-
10,trend healthy,uptrend,trend,False,absorption
0,trend healthy,uptrend,trend,False,-
0,trend healthy,uptrend,trend,False,-
0,trend healthy,uptrend,trend,False,-
0,trend healthy,uptrend,trend,True,location
10,trend healthy,uptrend,trend,True,absorption+location
20,trend healthy,uptrend,trend,True,absorption+location
0,trend healthy,uptrend,trend,True,-
10,trend healthy,downtrend,trend,False,location
25,trend healthy,downtrend,trend,False,location+rejection
0,trend healthy,downtrend,trend,False,-
0,trend healthy,downtrend,trend,False,-
0,trend healthy,downtrend,trend,False,location
35,caution,downtrend,trend,False,absorption+location+rejection
20,trend healthy,uptrend,mixed,False,absorption+location
20,trend healthy,uptrend,mixed,False,absorption+location
35,caution,uptrend,mixed,False,absorption+location+rejection
20,trend healthy,uptrend,mixed,False,absorption+location
20,trend healthy,uptrend,mixed,False,absorption+location
20,trend healthy,uptrend,mixed,False,absorption+location
5,trend healthy,uptrend,mixed,False,rsi_gated
5,trend healthy,uptrend,mixed,False,rsi_gated
30,caution,uptrend,mixed,False,location+rejection+rsi_gated
25,trend healthy,uptrend,mixed,False,absorption+location+rsi_gated
25,trend healthy,uptrend,mixed,False,absorption+location+rsi_gated
25,trend healthy,uptrend,mixed,False,absorption+location+rsi_gated
20,trend healthy,uptrend,mixed,False,absorption+location
20,trend healthy,uptrend,mixed,False,absorption+location
20,trend healthy,uptrend,mixed,False,absorption+location
20,trend healthy,uptrend,mixed,False,absorption+location
0,trend healthy,uptrend,range,False,-
0,trend healthy,uptrend,range,False,-
0,trend healthy,uptrend,range,False,-
0,trend healthy,uptrend,range,False,-
0,trend healthy,uptrend,range,False,-
0,trend healthy,uptrend,range,False,-
0,trend healthy,uptrend,range,False,-
0,trend healthy,uptrend,range,False,-
0,trend healthy,uptrend,range,False,-
0,trend healthy,uptrend,range,False,-
25,trend healthy,uptrend,range,False,location+rejection
10,trend healthy,uptrend,range,False,location
10,trend healthy,uptrend,range,False,location
10,trend healthy,uptrend,range,False,location
20,trend healthy,uptrend,range,False,absorption+location
35,caution,uptrend,range,False,absorption+location+rejection
20,trend healthy,uptrend,trend,False,absorption+location
20,trend healthy,uptrend,trend,False,absorption+location
20,trend healthy,uptrend,trend,False,absorption+location
20,trend healthy,uptrend,trend,False,absorption+location
20,trend healthy,uptrend,trend,False,absorption+location
0,trend healthy,uptrend,trend,False,-
0,trend healthy,uptrend,trend,False,-
0,trend healthy,uptrend,trend,False,-
0,trend healthy,uptrend,trend,False,-
0,trend healthy,uptrend,trend,False,-
0,trend healthy,uptrend,trend,False,-
0,trend healthy,uptrend,trend,False,-
0,trend healthy,uptrend,trend,False,-
0,trend healthy,uptrend,trend,False,-
0,trend healthy,uptrend,trend,False,-
20,trend healthy,uptrend,trend,False,absorption+location
20,trend healthy,uptrend,trend,False,absorption+location
20,trend healthy,uptrend,trend,False,absorption+location
20,trend healthy,uptrend,trend,False,absorption+location
10,trend healthy,uptrend,trend,False,location
10,trend healthy,uptrend,trend,False,location
35,caution,uptrend,trend,False,absorption+location+rejection
20,trend healthy,uptrend,trend,False,absorption+location
20,trend healthy,uptrend,trend,False,absorption+location
35,caution,uptrend,trend,False,absorption+location+rejection
0,trend healthy,uptrend,trend,False,-
20,trend healthy,uptrend,trend,False,absorption+location
20,trend healthy,uptrend,trend,False,absorption+location
20,trend healthy,uptrend,trend,False,absorption+location
10,trend healthy,uptrend,trend,False,absorption
25,trend healthy,uptrend,trend,False,absorption+rejection
0,trend healthy,downtrend,mixed,False,-
0,trend healthy,downtrend,mixed,False,-
