ts,s_score,s_band,s_dir,s_fired,y_score,y_band,y_dir,y_fired
2026-09-18 12:00:00-04:00,35,caution,downtrend,absorption+location+rejection,35,caution,downtrend,absorption+location+rejection
2026-09-18 12:05:00-04:00,20,trend healthy,downtrend,absorption+location,20,trend healthy,downtrend,absorption+location
2026-09-18 12:10:00-04:00,20,trend healthy,downtrend,absorption+location,20,trend healthy,downtrend,absorption+location
2026-09-18 12:15:00-04:00,35,caution,downtrend,absorption+location+rejection,35,caution,downtrend,absorption+location+rejection
2026-09-18 12:20:00-04:00,0,trend healthy,downtrend,location,0,trend healthy,downtrend,location
2026-09-18 12:25:00-04:00,20,trend healthy,downtrend,absorption+location,20,trend healthy,downtrend,absorption+location
2026-09-18 12:30:00-04:00,0,trend healthy,downtrend,-,15,trend healthy,downtrend,volume
2026-09-18 12:35:00-04:00,20,trend healthy,downtrend,absorption+location,35,caution,downtrend,absorption+location+volume
2026-09-18 12:40:00-04:00,0,trend healthy,downtrend,-,0,trend healthy,downtrend,-
2026-09-18 12:45:00-04:00,15,trend healthy,downtrend,rejection,15,trend healthy,downtrend,rejection
2026-09-18 12:50:00-04:00,0,no signal,chop,-,0,no signal,chop,-
2026-09-18 12:55:00-04:00,0,no signal,chop,-,0,no signal,chop,-
2026-09-18 13:00:00-04:00,0,no signal,chop,-,0,no signal,chop,-
2026-09-18 13:05:00-04:00,0,no signal,chop,-,0,no signal,chop,-
2026-09-18 13:10:00-04:00,0,no signal,chop,-,0,no signal,chop,-
2026-09-18 13:15:00-04:00,0,no signal,chop,-,0,no signal,chop,-
2026-09-18 13:20:00-04:00,0,no signal,chop,-,0,no signal,chop,-
2026-09-18 13:25:00-04:00,0,no signal,chop,-,0,no signal,chop,-
2026-09-18 13:30:00-04:00,0,no signal,chop,-,0,no signal,chop,-
2026-09-18 13:35:00-04:00,0,no signal,chop,-,0,no signal,chop,-
2026-09-18 13:40:00-04:00,0,no signal,chop,-,0,no signal,chop,-
2026-09-18 13:45:00-04:00,0,no signal,chop,-,0,no signal,chop,-
2026-09-18 13:50:00-04:00,20,trend healthy,uptrend,absorption+location,0,no signal,chop,-
2026-09-18 13:55:00-04:00,20,trend healthy,uptrend,absorption+location,0,no signal,chop,-
2026-09-18 14:00:00-04:00,20,trend healthy,uptrend,absorption+location,20,trend healthy,uptrend,absorption+location
2026-09-18 14:05:00-04:00,20,trend healthy,uptrend,absorption+location,0,no signal,chop,-
2026-09-18 14:10:00-04:00,20,trend healthy,uptrend,absorption+location,0,no signal,chop,-
2026-09-18 14:15:00-04:00,20,trend healthy,uptrend,absorption+location,20,trend healthy,uptrend,absorption+location
2026-09-18 14:20:00-04:00,35,caution,uptrend,absorption+location+rejection,35,caution,uptrend,absorption+location+rejection
2026-09-18 14:25:00-04:00,35,caution,uptrend,absorption+location+volume,35,caution,uptrend,absorption+location+volume
2026-09-18 14:30:00-04:00,25,trend healthy,uptrend,absorption+location+volume,35,caution,uptrend,absorption+location+volume
2026-09-18 14:35:00-04:00,20,trend healthy,uptrend,absorption+location,20,trend healthy,uptrend,absorption+location
2026-09-18 14:40:00-04:00,20,trend healthy,uptrend,absorption+location,20,trend healthy,uptrend,absorption+location
2026-09-18 14:45:00-04:00,25,trend healthy,uptrend,climax+location,25,trend healthy,uptrend,climax+location
2026-09-18 14:50:00-04:00,25,trend healthy,uptrend,absorption+location+rejection,25,trend healthy,uptrend,absorption+location+rejection
2026-09-18 14:55:00-04:00,25,trend healthy,uptrend,absorption+location+volume,10,trend healthy,uptrend,absorption+location
2026-09-18 15:00:00-04:00,25,trend healthy,uptrend,absorption+location+volume,10,trend healthy,uptrend,absorption+location
2026-09-18 15:05:00-04:00,20,trend healthy,uptrend,absorption+location,20,trend healthy,uptrend,absorption+location
2026-09-18 15:10:00-04:00,35,caution,uptrend,absorption+location+rejection,35,caution,uptrend,absorption+location+rejection
2026-09-18 15:15:00-04:00,20,trend healthy,uptrend,absorption+location,20,trend healthy,uptrend,absorption+location
2026-09-18 15:20:00-04:00,20,trend healthy,uptrend,absorption+location,20,trend healthy,uptrend,absorption+location
2026-09-18 15:25:00-04:00,20,trend healthy,uptrend,absorption+location,20,trend healthy,uptrend,absorption+location
2026-09-18 15:30:00-04:00,20,trend healthy,uptrend,absorption+location,20,trend healthy,uptrend,absorption+location
2026-09-18 15:35:00-04:00,20,trend healthy,uptrend,absorption+location,20,trend healthy,uptrend,absorption+location
2026-09-18 15:40:00-04:00,20,trend healthy,uptrend,absorption+location,20,trend healthy,uptrend,absorption+location
2026-09-18 15:45:00-04:00,20,trend healthy,uptrend,absorption+location,20,trend healthy,uptrend,absorption+location
2026-09-18 15:50:00-04:00,20,trend healthy,uptrend,absorption+location,20,trend healthy,uptrend,absorption+location
2026-09-18 15:55:00-04:00,35,caution,uptrend,absorption+location+rejection,35,caution,uptrend,absorption+location+rejection
